Mean Square Error (MSE) = 4903.457493220719
Average Difference = 28.20477357462049

ROW		|	PREDICTION	|	TARGET	|	ERROR
357		|	1,100		|	1,210	|	,110
358		|	1,100		|	1,210	|	,110
359		|	1,100		|	1,210	|	,110
360		|	1,100		|	1,220	|	,120
361		|	1,100		|	1,200	|	,100
362		|	1,100		|	1,210	|	,110
363		|	1,152		|	1,200	|	,048
364		|	1,152		|	1,240	|	,088
365		|	1,100		|	1,190	|	,090
366		|	1,152		|	1,180	|	,028
367		|	1,152		|	1,190	|	,038
368		|	1,100		|	1,190	|	,090
369		|	1,152		|	1,190	|	,038
370		|	1,152		|	1,210	|	,058
371		|	1,152		|	1,210	|	,058
372		|	1,100		|	1,200	|	,100
373		|	1,100		|	1,170	|	,070
374		|	1,100		|	1,170	|	,070
375		|	1,100		|	1,210	|	,110
376		|	1,100		|	1,200	|	,100
377		|	1,100		|	1,220	|	,120
378		|	1,100		|	1,220	|	,120
379		|	1,100		|	1,210	|	,110
380		|	1,100		|	1,210	|	,110
381		|	1,100		|	1,210	|	,110
382		|	1,100		|	1,200	|	,100
383		|	1,100		|	1,190	|	,090
384		|	1,100		|	1,240	|	,140
385		|	1,100		|	1,180	|	,080
386		|	1,100		|	1,180	|	,080
387		|	1,100		|	1,180	|	,080
388		|	1,100		|	1,170	|	,070
389		|	1,152		|	1,210	|	,058
390		|	1,152		|	1,170	|	,018
391		|	1,152		|	1,230	|	,078
392		|	1,152		|	1,210	|	,058
393		|	1,152		|	1,190	|	,038
394		|	1,152		|	1,180	|	,028
395		|	1,152		|	1,200	|	,048
396		|	1,100		|	1,200	|	,100
397		|	1,100		|	1,200	|	,100
398		|	1,152		|	1,200	|	,048
399		|	1,100		|	1,190	|	,090
400		|	1,100		|	1,200	|	,100
401		|	1,079		|	1,190	|	,111
402		|	1,079		|	1,190	|	,111
403		|	1,079		|	1,190	|	,111
404		|	1,079		|	1,210	|	,131
405		|	1,079		|	1,220	|	,141
406		|	1,079		|	1,200	|	,121
407		|	1,079		|	1,220	|	,141
408		|	1,079		|	1,210	|	,131
409		|	1,079		|	1,210	|	,131
410		|	1,079		|	1,210	|	,131
411		|	1,079		|	1,220	|	,141
412		|	1,079		|	1,240	|	,161
413		|	1,079		|	1,190	|	,111
414		|	1,079		|	1,170	|	,091
415		|	1,079		|	1,180	|	,101
416		|	1,079		|	1,210	|	,131
417		|	1,079		|	1,220	|	,141
418		|	1,079		|	1,200	|	,121
419		|	1,079		|	1,190	|	,111
420		|	1,079		|	1,220	|	,141
421		|	1,079		|	1,200	|	,121
422		|	1,079		|	1,230	|	,151
423		|	1,079		|	1,220	|	,141
424		|	1,079		|	1,200	|	,121
425		|	1,079		|	1,210	|	,131
426		|	1,079		|	1,230	|	,151
427		|	1,079		|	1,220	|	,141
428		|	1,079		|	1,220	|	,141
429		|	1,079		|	1,180	|	,101
430		|	1,079		|	1,250	|	,171
431		|	1,079		|	1,240	|	,161
432		|	1,079		|	1,210	|	,131
433		|	1,079		|	1,190	|	,111
434		|	1,079		|	1,230	|	,151
435		|	1,079		|	1,230	|	,151
436		|	1,079		|	1,180	|	,101
437		|	1,079		|	1,230	|	,151
438		|	1,079		|	1,190	|	,111
439		|	1,079		|	1,200	|	,121
440		|	1,079		|	1,200	|	,121
441		|	1,079		|	1,200	|	,121
442		|	1,079		|	1,210	|	,131
443		|	1,079		|	1,210	|	,131
444		|	1,079		|	1,240	|	,161
445		|	1,079		|	1,180	|	,101
446		|	1,079		|	1,200	|	,121
447		|	1,079		|	1,220	|	,141
448		|	1,079		|	1,220	|	,141
449		|	1,079		|	1,220	|	,141
450		|	1,079		|	1,190	|	,111
451		|	1,079		|	1,230	|	,151
452		|	1,079		|	1,210	|	,131
453		|	1,079		|	1,230	|	,151
454		|	1,079		|	1,200	|	,121
455		|	1,079		|	1,230	|	,151
456		|	1,079		|	1,210	|	,131
457		|	1,079		|	1,210	|	,131
458		|	1,079		|	1,210	|	,131
459		|	1,079		|	1,210	|	,131
460		|	1,079		|	1,220	|	,141
461		|	1,079		|	1,230	|	,151
462		|	1,079		|	1,220	|	,141
463		|	1,079		|	1,220	|	,141
464		|	1,079		|	1,210	|	,131
465		|	1,079		|	1,210	|	,131
466		|	1,079		|	1,190	|	,111
467		|	1,079		|	1,200	|	,121
468		|	1,079		|	1,210	|	,131
469		|	1,259		|	1,200	|	,059
470		|	1,259		|	1,210	|	,049
471		|	1,259		|	1,220	|	,039
472		|	1,259		|	1,220	|	,039
473		|	2,335		|	1,370	|	,965
474		|	1,810		|	1,990	|	,180
475		|	3,250		|	2,560	|	,690
476		|	3,170		|	3,280	|	,110
477		|	5,866		|	5,790	|	,076
478		|	24,321		|	13,780	|	10,541
479		|	23,634		|	16,980	|	6,654
480		|	34,087		|	18,720	|	15,367
481		|	36,122		|	33,430	|	2,692
482		|	36,122		|	33,090	|	3,032
483		|	36,122		|	30,640	|	5,482
484		|	47,497		|	42,480	|	5,017
485		|	47,497		|	36,700	|	10,797
486		|	47,497		|	48,330	|	,833
487		|	47,497		|	52,950	|	5,453
488		|	47,497		|	53,540	|	6,043
489		|	47,497		|	65,250	|	17,753
490		|	69,282		|	101,310	|	32,028
491		|	69,282		|	111,770	|	42,488
492		|	69,282		|	92,730	|	23,448
493		|	91,267		|	78,000	|	13,267
494		|	91,267		|	70,930	|	20,337
495		|	91,267		|	90,830	|	,437
496		|	91,267		|	69,010	|	22,257
497		|	101,945		|	83,050	|	18,895
498		|	69,185		|	67,330	|	1,855
499		|	101,945		|	82,490	|	19,455
500		|	101,945		|	118,960	|	17,015
501		|	101,945		|	125,350	|	23,405
502		|	101,945		|	132,220	|	30,275
503		|	69,185		|	135,960	|	66,775
504		|	101,945		|	138,270	|	36,325
505		|	101,945		|	120,330	|	18,385
506		|	69,185		|	106,410	|	37,225
507		|	101,945		|	121,170	|	19,225
508		|	101,945		|	138,110	|	36,165
509		|	101,945		|	128,280	|	26,335
510		|	101,945		|	115,940	|	13,995
511		|	101,945		|	93,310	|	8,635
512		|	101,945		|	121,600	|	19,655
513		|	101,945		|	142,580	|	40,635
514		|	101,945		|	142,810	|	40,865
515		|	101,945		|	138,160	|	36,215
516		|	101,945		|	152,320	|	50,375
517		|	101,945		|	125,740	|	23,795
518		|	101,945		|	119,950	|	18,005
519		|	101,945		|	195,960	|	94,015
520		|	101,945		|	153,610	|	51,665
521		|	101,945		|	123,690	|	21,745
522		|	101,945		|	149,940	|	47,995
523		|	101,945		|	160,280	|	58,335
524		|	101,945		|	181,060	|	79,115
525		|	101,945		|	135,780	|	33,835
526		|	101,945		|	115,160	|	13,215
527		|	101,945		|	135,290	|	33,345
528		|	101,945		|	193,560	|	91,615
529		|	101,945		|	291,130	|	189,185
530		|	101,945		|	373,610	|	271,665
531		|	101,945		|	384,660	|	282,715
532		|	69,185		|	269,610	|	200,425
533		|	101,945		|	239,520	|	137,575
534		|	101,945		|	116,200	|	14,255
535		|	101,945		|	96,850	|	5,095
536		|	101,945		|	168,630	|	66,685
537		|	69,185		|	117,810	|	48,625
538		|	101,945		|	163,910	|	61,965
539		|	69,185		|	132,110	|	62,925
540		|	101,945		|	111,870	|	9,925
541		|	69,185		|	82,370	|	13,185
542		|	69,185		|	75,010	|	5,825
543		|	69,185		|	50,660	|	18,525
544		|	101,945		|	38,660	|	63,285
545		|	69,185		|	28,760	|	40,425
546		|	101,945		|	27,890	|	74,055
547		|	101,945		|	24,680	|	77,265
548		|	101,945		|	24,750	|	77,195
549		|	69,185		|	22,150	|	47,035
550		|	101,945		|	17,390	|	84,555
551		|	101,945		|	14,140	|	87,805
552		|	69,185		|	15,080	|	54,105
553		|	69,185		|	15,010	|	54,175
554		|	69,185		|	18,320	|	50,865
555		|	254,394		|	17,380	|	237,014
556		|	287,155		|	19,690	|	267,465
557		|	352,093		|	22,250	|	329,843
558		|	352,093		|	42,660	|	309,433
559		|	352,093		|	81,230	|	270,863
560		|	397,896		|	192,810	|	205,086
561		|	397,896		|	308,690	|	89,206
562		|	352,093		|	478,180	|	126,087
563		|	352,093		|	856,350	|	504,257
564		|	352,093		|	821,730	|	469,637
565		|	287,155		|	721,710	|	434,555
566		|	254,394		|	588,800	|	334,406
567		|	101,945		|	527,280	|	425,335
568		|	101,945		|	319,440	|	217,495
569		|	101,945		|	168,860	|	66,915
570		|	101,945		|	91,640	|	10,305
571		|	101,945		|	51,670	|	50,275
572		|	69,185		|	30,620	|	38,565
573		|	101,945		|	17,310	|	84,635
574		|	150,560		|	11,190	|	139,370
575		|	183,321		|	11,480	|	171,841
576		|	150,560		|	14,180	|	136,380
577		|	183,321		|	12,950	|	170,371
578		|	101,945		|	13,240	|	88,705
579		|	183,321		|	14,820	|	168,501
580		|	101,945		|	37,090	|	64,855
581		|	69,185		|	63,570	|	5,615
582		|	101,945		|	112,290	|	10,345
583		|	81,731		|	131,300	|	49,569
584		|	81,731		|	189,610	|	107,879
585		|	81,731		|	237,990	|	156,259
586		|	81,731		|	174,400	|	92,669
587		|	81,731		|	67,280	|	14,451
588		|	121,115		|	29,900	|	91,215
589		|	121,115		|	16,320	|	104,795
590		|	121,115		|	11,890	|	109,225
591		|	121,115		|	9,030	|	112,085
592		|	87,657		|	7,040	|	80,617
593		|	87,657		|	5,010	|	82,647
594		|	87,657		|	4,450	|	83,207
595		|	68,399		|	4,290	|	64,109
596		|	36,115		|	3,460	|	32,655
597		|	36,115		|	2,870	|	33,245
598		|	36,115		|	2,220	|	33,895
599		|	36,115		|	1,800	|	34,315
600		|	36,115		|	1,710	|	34,405
601		|	36,115		|	1,490	|	34,625
602		|	25,813		|	1,340	|	24,473
603		|	16,518		|	1,240	|	15,278
604		|	16,518		|	1,190	|	15,328
605		|	15,968		|	1,190	|	14,778
606		|	17,293		|	1,200	|	16,093
607		|	15,968		|	1,220	|	14,748
608		|	7,320		|	1,200	|	6,120
609		|	5,212		|	1,190	|	4,022
610		|	5,212		|	1,190	|	4,022
611		|	4,567		|	1,200	|	3,367
612		|	2,370		|	1,220	|	1,150
613		|	2,370		|	1,180	|	1,190
614		|	1,710		|	1,190	|	,520
615		|	1,358		|	1,180	|	,178
616		|	1,358		|	1,190	|	,168
617		|	1,152		|	1,220	|	,068
618		|	1,100		|	1,180	|	,080
619		|	1,100		|	1,180	|	,080
620		|	1,100		|	1,230	|	,130
621		|	1,100		|	1,200	|	,100
622		|	1,100		|	1,200	|	,100
623		|	1,152		|	1,230	|	,078
624		|	1,152		|	1,260	|	,108
625		|	1,100		|	1,190	|	,090
626		|	1,152		|	1,230	|	,078
627		|	1,152		|	1,190	|	,038
628		|	1,152		|	1,190	|	,038
629		|	1,100		|	1,190	|	,090
630		|	1,152		|	1,160	|	,008
631		|	1,152		|	1,160	|	,008
632		|	1,152		|	1,190	|	,038
633		|	1,152		|	1,180	|	,028
634		|	1,152		|	1,200	|	,048
635		|	1,100		|	1,210	|	,110
636		|	1,100		|	1,220	|	,120
637		|	1,100		|	1,190	|	,090
638		|	1,152		|	1,200	|	,048
639		|	1,100		|	1,200	|	,100
640		|	1,152		|	1,210	|	,058
641		|	1,100		|	1,200	|	,100
642		|	1,152		|	1,180	|	,028
643		|	1,152		|	1,190	|	,038
644		|	1,152		|	1,220	|	,068
645		|	1,100		|	1,210	|	,110
646		|	1,100		|	1,180	|	,080
647		|	1,152		|	1,210	|	,058
648		|	1,152		|	1,220	|	,068
649		|	1,100		|	1,210	|	,110
650		|	1,152		|	1,190	|	,038
651		|	1,100		|	1,250	|	,150
652		|	1,100		|	1,200	|	,100
653		|	1,100		|	1,220	|	,120
654		|	1,100		|	1,170	|	,070
655		|	1,152		|	1,180	|	,028
656		|	1,100		|	1,220	|	,120
657		|	1,152		|	1,190	|	,038
658		|	1,152		|	1,200	|	,048
659		|	1,100		|	1,170	|	,070
660		|	1,100		|	1,200	|	,100
661		|	1,152		|	1,180	|	,028
662		|	1,100		|	1,180	|	,080
663		|	1,100		|	1,190	|	,090
664		|	1,152		|	1,210	|	,058
665		|	1,100		|	1,200	|	,100
666		|	1,152		|	1,200	|	,048
667		|	1,100		|	1,190	|	,090
668		|	1,100		|	1,190	|	,090
669		|	1,100		|	1,210	|	,110
670		|	1,100		|	1,210	|	,110
671		|	1,100		|	1,200	|	,100
672		|	1,100		|	1,210	|	,110
673		|	1,100		|	1,210	|	,110
674		|	1,100		|	1,210	|	,110
675		|	1,100		|	1,200	|	,100
676		|	1,100		|	1,210	|	,110
677		|	1,100		|	1,210	|	,110
678		|	1,100		|	1,220	|	,120
679		|	1,100		|	1,200	|	,100
680		|	1,152		|	1,190	|	,038
681		|	1,100		|	1,190	|	,090
682		|	1,100		|	1,210	|	,110
683		|	1,100		|	1,180	|	,080
684		|	1,100		|	1,220	|	,120
685		|	1,100		|	1,170	|	,070
686		|	1,100		|	1,200	|	,100
687		|	1,100		|	1,230	|	,130
688		|	1,100		|	1,200	|	,100
